Akt1,11651,mmu-miR-21a-5p,MIMAT0000530,transmir,Experimental,High
Ar,11835,H1f0,14958,tred,Experimental,High
Ar,11835,Mttp,17777,tred,Experimental,High
Ar,11835,Ncoa2,17978,tred,biogrid,Experimental,High
Ar,11835,Nfkb1,18033,tred,Experimental,High
Ar,11835,Nfkbia,18035,tred,Experimental,High
Ar,11835,Ngfr,18053,tred,Experimental,High
Ar,11835,Nos2,18126,tred,Experimental,High
Ar,11835,Nsd1,18193,tred,Experimental,High
Ar,11835,Pcp2,18545,tred,Experimental,High
Ar,11835,Etv4,18612,tred,Experimental,High
Ar,11835,Pltp,18830,tred,Experimental,High
Ar,11835,Pou2f1,18986,tred,biogrid,Experimental,High
Ar,11835,Acox1,11430,tred,Experimental,High
Ar,11835,Pou3f3,18993,tred,Experimental,High
Ar,11835,Pou5f1,18999,tred,Experimental,High
Ar,11835,Med1,19014,tred,Experimental,High
Ar,11835,Psmc5,19184,tred,Experimental,High
Ar,11835,Pthlh,19227,tred,Experimental,High
Ar,11835,Rara,19401,tred,Experimental,High
Ar,11835,Rbp2,19660,tred,Experimental,High
Ar,11835,Scd1,20249,tred,Experimental,High
Ar,11835,Slc18a3,20508,tred,Experimental,High
Ar,11835,Slc22a1,20517,tred,Experimental,High
Ar,11835,Scarb1,20778,tred,Experimental,High
Ar,11835,Svs6,20945,tred,Experimental,High
Ar,11835,Tgfbr3,21814,tred,Experimental,High
Ar,11835,Tgm1,21816,tred,Experimental,High
Ar,11835,Tgm2,21817,tred,Experimental,High
Ar,11835,Nkx2-1,21869,tred,Experimental,High
Ar,11835,Nr2c1,22025,tred,Experimental,High
Ar,11835,Trh,22044,tred,Experimental,High
Ar,11835,Ucp1,22227,tred,Experimental,High
Ar,11835,Ucp3,22229,tred,Experimental,High
Ar,11835,Tat,234724,tred,Experimental,High
Ar,11835,Nox1,237038,tred,Experimental,High
Ar,11835,Apob,238055,tred,Experimental,High
Ar,11835,Slc27a1,26457,tred,Experimental,High
Ar,11835,Mecr,26922,tred,Experimental,High
Ar,11835,Pdk4,27273,tred,Experimental,High
Ar,11835,Sh2d3c,27387,tred,Experimental,High
Ar,11835,Dhrs4,28200,tred,Experimental,High
Ar,11835,Pbsn,54192,tred,Experimental,High
Ar,11835,Lgals12,56072,tred,Experimental,High
Ar,11835,Angptl4,57875,tred,Experimental,High
Ar,11835,Rqcd1,58184,tred,Experimental,High
Ar,11835,C4a,625018,tred,Experimental,High
Ar,11835,Aurkaip1,66077,tred,Experimental,High
Ar,11835,Grip1,74053,tred,Experimental,High
Ar,11835,Srd5a2,94224,tred,Experimental,High
Ar,11835,Crisp1,11571,tred,Experimental,High
Ar,11835,Crisp3,11572,tred,Experimental,High
Ar,11835,Aip,11632,tred,Experimental,High
Ar,11835,Aldh1a1,11668,tred,Experimental,High
Ar,11835,Apoa2,11807,tred,Experimental,High
Ar,11835,Akr1b7,11997,tred,Experimental,High
Ar,11835,Avp,11998,tred,Experimental,High
Ar,11835,Bcl2,12043,tred,Experimental,High
Ar,11835,C4b,12268,tred,Experimental,High
Ar,11835,Car5a,12352,tred,Experimental,High
Ar,11835,Ctnnb1,12387,tred,Experimental,High
Ar,11835,Cebpb,12608,tred,Experimental,High
Ar,11835,Chat,12647,tred,Experimental,High
Ar,11835,Abcc2,12780,tred,Experimental,High
Ar,11835,Col1a2,12843,tred,Experimental,High
Ar,11835,Cryab,12955,tred,Experimental,High
Ar,11835,Cyp24a1,13081,tred,Experimental,High
Ar,11835,Cyp27b1,13115,tred,Experimental,High
Ar,11835,Cyp7a1,13122,tred,Experimental,High
Ar,11835,Fabp1,14080,tred,Experimental,High
Ar,11835,Acsl1,14081,tred,Experimental,High
Ar,11835,Fli1,14247,tred,Experimental,High
Ar,11835,Flii,14248,tred,Experimental,High
Ar,11835,Gata3,14462,tred,Experimental,High
Ar,11835,Gpx5,14780,tred,Experimental,High
Ar,11835,Hoxa1,15394,tred,Experimental,High
Ar,11835,Hoxa4,15401,tred,Experimental,High
Ar,11835,Hoxa5,15402,tred,Experimental,High
Ar,11835,Hoxb1,15407,tred,Experimental,High
Ar,11835,Hsd11b1,15483,tred,Experimental,High
Ar,11835,Hsp90ab1,15516,tred,Kegg,Experimental,High
Ar,11835,Lamb1,16777,tred,Experimental,High
Ar,11835,Lpl,16956,tred,Experimental,High
Ar,11835,Mdk,17242,tred,Experimental,High
Ar,11835,Mmp3,17392,tred,Experimental,High
Ar,11835,Cited2,17684,tred,Experimental,High
Arnt,11863,Gm5506,433182,kegg,Experimental,High
Arnt,11863,Pfkfb4,270198,kegg,Experimental,High
Arnt,11863,Nppa,230899,kegg,Experimental,High
Arnt,11863,Eno3,13808,ucsc,kegg,Experimental,High
Arnt,11863,Epo,13856,kegg,Experimental,High
Arnt,11863,Figf,14205,kegg,Experimental,High
Arnt,11863,Flt1,14254,ucsc,kegg,Experimental,High
Arnt,11863,Gapdh,14433,kegg,Experimental,High
Arnt,11863,Hk1,15275,kegg,Experimental,High
Arnt,11863,Vegfb,22340,ucsc,kegg,Experimental,High
Arnt,11863,Vegfa,22339,ucsc,kegg,Experimental,High
Arnt,11863,Sumo1,22218,tred,Experimental,High
Arnt,11863,Tfrc,22042,kegg,Experimental,High
Arnt,11863,Trf,22041,kegg,Experimental,High
Arnt,11863,Timp1,21857,kegg,Experimental,High
Arnt,11863,Tek,21687,kegg,Experimental,High
Arnt,11863,Senp2,75826,ucsc,tred,Experimental,High
Arnt,11863,Hkdc1,216019,kegg,Experimental,High
Arnt,11863,Hk3,212032,kegg,Experimental,High
Arnt,11863,Slc2a1,20525,kegg,Experimental,High
Arnt,11863,Pdk1,228026,kegg,Experimental,High
Arnt,11863,Hk2,15277,kegg,Experimental,High
Arnt,11863,Serpine1,18787,kegg,Experimental,High
Arnt,11863,Pgk1,18655,kegg,Experimental,High
Arnt,11863,Pgf,18654,kegg,Experimental,High
Arnt,11863,Hmox1,15368,kegg,Experimental,High
Arnt,11863,Ldha,16828,kegg,Experimental,High
Arnt,11863,Ltbr,17000,kegg,Experimental,High
Arnt,11863,Pfkfb3,170768,ucsc,kegg,Experimental,High
Arnt,11863,Nos2,18126,kegg,Experimental,High
Arnt,11863,Pfkl,18641,kegg,Experimental,High
Arnt,11863,Nos3,18127,kegg,Experimental,High
Arnt,11863,Vegfc,22341,kegg,Experimental,High
Arnt,11863,Pfkfb1,18639,kegg,Experimental,High
Arnt,11863,Pfkfb2,18640,kegg,Experimental,High
Arnt,11863,LOC100042025,100042025,kegg,Experimental,High
Arnt,11863,LOC100048117,100048117,kegg,Experimental,High
Arnt,11863,Angpt1,11600,kegg,Experimental,High
Arnt,11863,Angpt2,11601,kegg,Experimental,High
Arnt,11863,Angpt4,11602,kegg,Experimental,High
Arnt,11863,Aldoa,11674,ucsc,kegg,Experimental,High
Arnt,11863,Bcl2,12043,kegg,Experimental,High
Arnt,11863,Cdkn1a,12575,kegg,Experimental,High
Arnt,11863,Cdkn1b,12576,kegg,Experimental,High
Arnt,11863,Edn1,13614,kegg,Experimental,High
Arnt,11863,Egf,13645,kegg,Experimental,High
Arnt,11863,Eno1,13806,kegg,Experimental,High
Arnt,11863,Eno2,13807,ucsc,kegg,Experimental,High
Arntl,11865,Bhlhe40,20893,kegg,Experimental,High
Arntl,11865,Cry1,12952,kegg,Kegg,biogrid,intact,Experimental,High
Arntl,11865,Cry2,12953,kegg,Kegg,biogrid,intact,Experimental,High
Arntl,11865,Per1,18626,kegg,Kegg,biogrid,Experimental,High
Arntl,11865,Per2,18627,kegg,Kegg,biogrid,intact,Experimental,High
Arntl,11865,Per3,18628,kegg,Kegg,biogrid,Experimental,High
Arntl,11865,Rora,19883,kegg,Experimental,High
Arntl,11865,Rorc,19885,kegg,Experimental,High
Arntl,11865,Nr1d1,217166,kegg,Experimental,High
Arntl,11865,Rorb,225998,kegg,Experimental,High
Arntl,11865,Bhlhe41,79362,kegg,Experimental,High
Atf1,11908,Tgfb2,21808,tred,Experimental,High
Atf1,11908,Eef2,13629,tred,Experimental,High
Atf1,11908,Fos,14281,tred,string,Experimental,High
Atf1,11908,Hspa5,14828,tred,Experimental,High
Atf1,11908,Nr4a1,15370,tred,Experimental,High
Atf1,11908,Nudt1,17766,tred,Experimental,High
Atf1,11908,Pcna,18538,tred,Experimental,High
